EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
4098.436671,5367.290842,3178.175509,2760.890448,4817.375044,6384.775034,3681.783929,5818.644301,3389.019135,2528.045187,4338.255116,490.8500656,2236.169874
3554.212578,4625.165902,2755.287952,2343.129318,4445.653956,5580.154365,3332.96047,5207.307447,2888.911863,2080.50002,3839.738925,426.7291792,2206.551363
3360.182918,4250.844303,2543.12822,2144.353682,4303.73031,5164.762824,3221.396205,4903.830915,2778.16278,1919.949504,3547.3961,381.7818716,2145.132374
3454.792809,4044.367265,2421.59494,2047.839023,4370.577345,5018.756396,3230.490191,5006.67611,2870.194862,1986.134432,3457.731997,387.5281872,2195.134187
3394.043474,3974.089018,2361.697519,2035.213813,4258.130576,4990.558274,3293.076763,4960.409724,2877.574514,2040.401935,3525.742643,379.4413263,2174.042992
3472.41766,4283.374063,2501.940991,2197.430924,4309.845286,5114.223413,3341.666153,5120.371835,3012.924422,2147.239643,3748.558487,402.5214431,2254.135766
4251.114794,5499.954127,3358.289379,2822.238877,4919.923372,6353.493797,4024.439139,5960.051414,3694.316773,2649.699946,4504.330702,514.5586493,2747.232914
5286.178409,6962.904592,4215.270967,3452.823296,5886.128534,8012.258658,4865.006327,7421.295104,4794.663342,3706.363251,5428.930835,677.8551424,3183.927722
5708.678217,7387.740978,4531.052225,3656.49299,6352.434252,8731.848255,5260.13243,8099.326486,5164.232363,4235.15181,5773.702978,747.8028484,3335.788988
5776.175651,7495.586966,4620.42658,3772.830946,6663.982931,8905.276176,5340.662725,8126.462645,5004.997334,4149.55159,5828.751886,771.405676,3371.726844
5276.439608,6741.461163,4123.703832,3438.93038,6338.154962,8176.984304,4967.416352,7261.170324,4429.706889,3653.119839,5328.416416,702.1248392,2986.398359
4667.693785,5879.734734,3641.372475,2992.693322,5807.075089,7223.416932,4456.653012,6305.691093,3865.297461,3164.95355,4711.501109,602.0562935,2470.97807
3780.968931,4686.227861,2879.88881,2328.560883,4926.872036,5866.235394,3706.399577,5157.111676,3093.329123,2429.992727,3790.179057,480.8639873,1973.194606
2532.551223,3062.41794,1905.984243,1537.837392,3587.623791,3964.610558,2632.55862,3541.539033,2000.044404,1519.083979,2447.829464,292.682572,1433.808495
1733.901488,2083.798458,996.6191213,835.8389175,2460.517542,2580.412495,1591.236943,2061.111484,1136.228843,823.6201466,1515.569972,261.8483264,1003.670791
1405.150476,1659.193749,1422.537412,1165.401024,1960.988322,2086.393789,1160.762873,1662.212299,896.7461379,621.5718333,1208.850301,230.8254329,829.5156475
1355.007079,1646.250926,1376.769843,1113.209268,1793.400065,1946.108184,1834.521227,1598.916034,898.2773364,579.9668192,1109.899918,235.3964662,1034.974286
1360.900861,1633.642401,1428.803605,1129.919755,1732.065706,3056.753357,1903.301393,1615.478127,897.3340073,1033.100555,1082.939863,238.7228858,1140.706508
1284.256038,1559.727985,1483.887891,1212.71884,1684.26018,3237.313056,2030.386006,1630.68112,1554.665361,1112.08407,2097.17001,264.5567303,1230.343109
